"Nationality","AvgDegree","AvgBetweenness","AvgCloseness"
"American",446.346153846154,0.0786591778620834,0.575503078261314
"French",144,0.0393457117595049,0.497267759562842
"British",94,0.0263778367226643,0.494565217391304
"Finnish",46,0.013262599469496,0.491891891891892
"Italian",46,0.013262599469496,0.491891891891892
